API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Dec  3 16:29:08 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2035-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464735.500000000, A.D. 2036-Feb-12 00:00:00.0000, -1.172054947482039E+08,  8.914976395262063E+07,  4.682307721663266E+03, -1.866423161077943E+01, -2.368990192980604E+01,  5.594041571370667E-04,
2464736.500000000, A.D. 2036-Feb-13 00:00:00.0000, -1.188001356376306E+08,  8.708925446623294E+07,  4.732266741733998E+03, -1.824790439205901E+01, -2.400595129565527E+01,  6.099023440757634E-04,
2464737.500000000, A.D. 2036-Feb-14 00:00:00.0000, -1.203585847494871E+08,  8.500173058212265E+07,  4.789802095945925E+03, -1.782644269179491E+01, -2.431522654129827E+01,  7.332114988969352E-04,
2464738.500000000, A.D. 2036-Feb-15 00:00:00.0000, -1.218803944646191E+08,  8.288778098201193E+07,  4.860716388795525E+03, -1.739975756407668E+01, -2.461763633384690E+01,  9.171952698512342E-04,
2464739.500000000, A.D. 2036-Feb-16 00:00:00.0000, -1.233651108125761E+08,  8.074800520150810E+07,  4.949592737581581E+03, -1.696779484740844E+01, -2.491302479831098E+01,  1.146276300701743E-03,
2464740.500000000, A.D. 2036-Feb-17 00:00:00.0000, -1.248122772406123E+08,  7.858301808944397E+07,  5.059623293407261E+03, -1.653055001298749E+01, -2.520119780819542E+01,  1.404234344624555E-03,
2464741.500000000, A.D. 2036-Feb-18 00:00:00.0000, -1.262214389901198E+08,  7.639345202421995E+07,  5.192642071366310E+03, -1.608806820036605E+01, -2.548194718418559E+01,  1.676070541432040E-03,
2464742.500000000, A.D. 2036-Feb-19 00:00:00.0000, -1.275921470569880E+08,  7.417995735353443E+07,  5.349272855333984E+03, -1.564043569982447E+01, -2.575506716309257E+01,  1.948831780559601E-03,
2464743.500000000, A.D. 2036-Feb-20 00:00:00.0000, -1.289239612762484E+08,  7.194320177840790E+07,  5.529112842720002E+03, -1.518776906278746E+01, -2.602036257675151E+01,  2.211674907096395E-03,
2464744.500000000, A.D. 2036-Feb-21 00:00:00.0000, -1.302164525124568E+08,  6.968386931629533E+07,  5.730902339011431E+03, -1.473020572703470E+01, -2.627765086558036E+01,  2.455536845740625E-03,
2464745.500000000, A.D. 2036-Feb-22 00:00:00.0000, -1.314692041695708E+08,  6.740265925885123E+07,  5.952659771140665E+03, -1.426789775734786E+01, -2.652676061379426E+01,  2.672700463458355E-03,
2464746.500000000, A.D. 2036-Feb-23 00:00:00.0000, -1.326818133032246E+08,  6.510028532389314E+07,  6.191781476601958E+03, -1.380100884911624E+01, -2.676752883259294E+01,  2.856434673512709E-03,
2464747.500000000, A.D. 2036-Feb-24 00:00:00.0000, -1.338538915963927E+08,  6.277747503813346E+07,  6.445117078658193E+03, -1.332971403756465E+01, -2.699979854103013E+01,  3.000798441856745E-03,
